Date,Title,Gross,AdjGross
5/25/77,Star Wars,460998007,1485517400
5/22/08,Indiana Jones/Kingdom of Crystal Skull,317101119,368331900
5/25/83,Return of the Jedi,309306177,784455500
5/21/80,The Empire Strikes Back,290475067,818826500
6/12/81,Raiders of the Lost Ark,248150971,738313400
5/24/89,Indiana Jones and the Last Crusade,197171806,412133600
8/6/93,The Fugitive,183875760,370273600
5/23/84,Indiana Jones and the Temple of Doom,179870271,446463700
7/25/97,Air Force One,172956409,314190100
7/21/00,What Lies Beneath,155464351,240541300
12/18/13,Anchorman 2: The Legend Continues,127352707,130324100
8/5/94,Clear and Present Danger,122187717,243790800
7/29/11,Cowboys & Aliens,100240551,105303400
4/12/13,42,95020213,94566700
7/27/90,Presumed Innocent,86303188,170158100
6/5/92,Patriot Games,83351587,167506600
6/2/98,"Six Days, Seven Nights",74339294,132194000
2/8/85,Witness,68706993,161413000
12/23/88,Working Girl,63779477,133316100
11/1/13,Ender’s Game,61737191,61704200
12/15/95,Sabrina,53672080,101903100
2/10/06,Firewall,48751189,62074000
7/21/91,Regarding Henry,43001500,85185900
3/28/97,The Devil’s Own,42868348,77891500
4/24/15,Age of Adaline,42629776,41293000
8/15/14,The Expendables 3,39322544,40576800
7/19/02,K-19: The Widowmaker,35168966,50483500
11/17/77,Heroes,33500000,125287000
6/25/82,Blade Runner,32868943,87610700
10/8/99,Random Hearts,31502583,51718800
11/10/10,Morning Glory,31011732,32289400
6/13/03,Hollywood Homicide,30940691,42793600
2/26/88,Frantic,17637950,35790900
11/26/86,The Mosquito Coast,14302779,30862700
1/22/10,Extraordinary Measures,12068313,13226000
7/13/79,The Frisco Kid,9346177,31054600
8/16/13,Paranoia,7385015,7854200
12/22/78,Force 10 From Navarone,7230000,25768500
5/18/79,Hanover Street,3000000,9968100
2/27/09,Crossing Over,455654,529300