Date,Name
1/24/2014,Elise
1/23/2014,Hannah
1/22/2014,Lauren
1/21/2014,Ali
1/20/2014,Elise
1/19/2014,Elise
1/18/2014,Julia
1/17/2014,Elise
1/16/2014,Hannah
1/15/2014,Gaby
1/14/2014,Ali
1/13/2014,Jill
1/11/2014,Julia
1/10/2014,Megan S.
1/9/2014,Hannah
1/8/2014,Elise
1/7/2014,Ali
1/6/2014,Hannah
1/5/2014,Elise
1/4/2014,Hannah
1/2/2014,Hannah
1/1/2014,Ang
12/31/2013,Hannah
12/30/2013,Gaby
12/29/2013,Elise
12/28/2013,Jill
12/27/2013,Gaby
12/26/2013,Gaby
12/25/2013,Lauren
12/24/2013,Jill
12/23/2013,Elise
12/22/2013,Elise
12/21/2013,Ali
12/20/2013,Jill
12/19/2013,Hannah
12/18/2013,Elise
12/17/2013,Ali
12/15/2013,Elise
12/14/2013,Ali
12/13/2013,Megan S.
12/12/2013,Hannah
12/11/2013,Elise
12/10/2013,Ali
12/9/2013,Jill
12/8/2013,Elise
12/7/2013,Jill
12/6/2013,Megan S.
12/5/2013,Hannah
12/4/2013,Elise
12/3/2013,Hannah
12/1/2013,Elise
11/30/2013,Elise
11/29/2013,Lauren
11/28/2013,Hannah
11/27/2013,Elise
11/25/2013,Hannah
11/24/2013,Elise
11/23/2013,Hannah
11/22/2013,Megan S.
11/21/2013,Hannah
11/20/2013,Hannah
11/19/2013,Hannah
11/17/2013,Elise
11/15/2013,Jill
11/14/2013,Elise
11/13/2013,Hannah
11/12/2013,Hannah
11/10/2013,Elise
11/9/2013,Lauren
11/8/2013,Hannah
11/7/2013,Hannah
11/6/2013,Elise
11/5/2013,Hannah
11/3/2013,Elise
11/2/2013,Ang
11/1/2013,Jill
10/31/2013,Hannah
10/30/2013,Elise
10/29/2013,Hannah
10/27/2013,Denise
10/26/2013,Ang
10/25/2013,Hannah
10/24/2013,Hannah
10/23/2013,Elise
10/22/2013,Hannah
10/20/2013,Elise
10/19/2013,Ang
10/18/2013,Megan S.
10/17/2013,Hannah
10/16/2013,Elise
10/14/2013,Hannah
10/13/2013,Denise
10/12/2013,Jill
10/11/2013,Megan S.
10/10/2013,Hannah
10/9/2013,Elise
10/8/2013,Megan S.
10/7/2013,Jill
10/6/2013,Elise
10/4/2013,Megan S.
10/1/2013,Megan S.
9/30/2013,Elise
9/29/2013,Hannah
9/27/2013,Megan S.
9/25/2013,Elise
9/24/2013,Megan S.
9/23/2013,Elise
9/22/2013,Kayla
9/20/2013,Kayla
9/18/2013,Elise
9/17/2013,Hannah
9/15/2013,Elise
9/14/2013,Denise
9/13/2013,Megan S.
9/12/2013,Hannah
9/11/2013,Elise
9/10/2013,Megan S.
9/9/2013,Elise
9/8/2013,Elise
9/7/2013,Denise
9/6/2013,Megan S.
9/5/2013,Hannah
9/4/2013,Elise
9/3/2013,Megan S.
9/2/2013,Elise
9/1/2013,Denise
8/31/2013,Elise
8/30/2013,Kayla
8/29/2013,Hannah
8/28/2013,Elise
8/27/2013,Megan S.
8/26/2013,Elise
8/25/2013,Elise
8/24/2013,Denise
8/23/2013,Kayla
8/22/2013,Hannah
8/21/2013,Elise
8/20/2013,Jill
8/19/2013,Elise
8/17/2013,Denise
8/16/2013,Hannah
8/15/2013,Hannah
8/14/2013,Elise
8/13/2013,Katie
8/12/2013,Denise
8/11/2013,Elise
8/10/2013,Denise
8/9/2013,Elise
8/8/2013,Hannah
8/7/2013,Elise
8/6/2013,Kayla
8/5/2013,Elise
8/4/2013,Kayla
8/3/2013,Elise
8/2/2013,Elise
8/1/2013,Hannah
7/31/2013,Elise
7/29/2013,Elise
7/28/2013,Kayla
7/27/2013,Denise
7/26/2013,Elise
7/24/2013,Lauren
7/22/2013,Elise
7/21/2013,Hannah
7/20/2013,Denise
7/14/2013,Kayla
7/13/2013,Elise
7/12/2013,Elise
7/11/2013,Hannah
7/9/2013,Megan S.
7/6/2013,Denise
7/5/2013,Kayla
7/3/2013,Elise
7/1/2013,Elise
6/29/2013,Denise
6/28/2013,Elise
6/27/2013,Hannah
6/26/2013,Elise
6/25/2013,Katie
6/24/2013,Denise
6/23/2013,Kayla
6/21/2013,Kayla
6/20/2013,Hannah
6/19/2013,Elise
6/17/2013,Jill
6/16/2013,Kayla
6/15/2013,Denise
6/14/2013,Kayla
6/13/2013,Hannah
6/12/2013,Elise
6/11/2013,Katie
6/10/2013,Elise
6/8/2013,Jill
6/7/2013,Kayla
6/6/2013,Hannah
6/5/2013,Elise
6/4/2013,Katie
6/3/2013,Denise
6/2/2013,Kayla
6/1/2013,Elise
5/31/2013,Megan S.
5/30/2013,Hannah
5/29/2013,Elise
5/28/2013,Megan S.
5/27/2013,Elise
5/26/2013,Lauren
5/25/2013,Denise
5/24/2013,Jill
5/23/2013,Hannah
5/22/2013,Elise
5/21/2013,Katie
5/20/2013,Jill
5/19/2013,Kayla
5/18/2013,Elise
5/17/2013,Kayla
5/16/2013,Hannah
5/15/2013,Elise
5/14/2013,Megan S.
5/13/2013,Jill
5/12/2013,Kayla
5/11/2013,Denise
5/10/2013,Megan S.
5/9/2013,Hannah
5/8/2013,Elise
5/7/2013,Katie
5/6/2013,Elise
5/5/2013,Kayla
5/4/2013,Lauren
5/4/2013,Elise
5/3/2013,Megan S.
5/2/2013,Hannah
5/1/2013,Elise
4/30/2013,Jill
4/29/2013,Jill
4/28/2013,Kayla
4/27/2013,Denise
4/26/2013,Megan S.
4/25/2013,Hannah
4/24/2013,Hannah
4/23/2013,Katie
4/22/2013,Jill
4/21/2013,Kayla
4/20/2013,Elise
4/18/2013,Hannah
4/17/2013,Elise
4/16/2013,Katie
4/15/2013,Kayla
4/14/2013,Elise
4/14/2013,Kayla
4/13/2013,Katie
4/12/2013,Megan S.
4/11/2013,Hannah
4/10/2013,Lauren
4/9/2013,Megan S.
4/8/2013,Jill
4/7/2013,Kayla
4/6/2013,Denise
4/5/2013,Megan S.
4/4/2013,Hannah
4/3/2013,Ali
4/2/2013,Megan S.
4/1/2013,Jill
3/31/2013,Kayla
3/30/2013,Denise
3/29/2013,Megan S.
3/28/2013,Hannah
3/27/2013,Elise
3/26/2013,Megan S.
3/25/2013,Jill
3/24/2013,Kayla
3/23/2013,Denise
3/22/2013,Megan S.
3/21/2013,Gaby
3/20/2013,Elise
3/19/2013,Megan S.
3/18/2013,Jill
3/17/2013,Kayla
3/16/2013,Denise
3/15/2013,Megan S.
3/14/2013,Hannah
3/13/2013,Hannah
3/12/2013,Jill
3/11/2013,Jill
3/10/2013,Kayla
3/9/2013,Denise
3/8/2013,Kayla
3/7/2013,Hannah
3/6/2013,Elise
3/5/2013,Jill
3/4/2013,Jill
3/3/2013,Kayla
3/2/2013,Denise
3/1/2013,Kayla
2/28/2013,Hannah
2/27/2013,Elise
2/26/2013,Hannah
2/25/2013,Elise
2/24/2013,Kayla
2/23/2013,Denise
2/22/2013,Kayla
2/21/2013,Hannah
2/20/2013,Kayla
2/19/2013,Jill
2/18/2013,Elise
2/17/2013,Jill
2/16/2013,Denise
2/15/2013,Hannah
2/15/2013,Kayla
2/14/2013,Hannah
2/13/2013,Elise
2/12/2013,Jackie
2/11/2013,Elise
2/10/2013,Ali
2/8/2013,Kayla
2/7/2013,Hannah
2/6/2013,Elise
2/5/2013,Jill
2/4/2013,Elise
2/3/2013,Kayla
2/2/2013,Ali
2/1/2013,Kayla
1/31/2013,Hannah
1/30/2013,Elise
1/29/2013,Hannah
1/28/2013,Elise
1/27/2013,Jill
1/27/2013,Kayla
1/26/2013,Elise
1/25/2013,Kayla
1/24/2013,Hannah
1/23/2013,Elise
1/22/2013,Jill
1/21/2013,Denise
1/20/2013,Kayla
1/19/2013,Denise
1/18/2013,Megan S.
1/17/2013,Hannah
1/16/2013,Elise
1/15/2013,Jill
1/14/2013,Elise
1/13/2013,Kayla
1/12/2013,Ali
1/11/2013,Elise
1/10/2013,Hannah
1/9/2013,Elise
1/8/2013,Jill
1/7/2013,Kayla
1/6/2013,Kayla
1/5/2013,Denise
1/4/2013,Kayla
1/3/2013,Hannah
1/2/2013,Elise
1/1/2013,Jill
12/31/2012,Elise
12/30/2012,Kayla
12/29/2012,Denise
12/28/2012,Kayla
12/27/2012,Hannah
12/26/2012,Elise
12/24/2012,Elise
12/23/2012,Kayla
12/21/2012,Kayla
12/20/2012,Hannah
12/19/2012,Elise
12/18/2012,Jill
12/17/2012,Elise
12/16/2012,Elise
12/15/2012,Denise
12/14/2012,Kayla
12/13/2012,Hannah
12/12/2012,Elise
12/11/2012,Jill
12/10/2012,Elise
12/9/2012,Kayla
12/8/2012,Denise
12/7/2012,Elise
12/6/2012,Hannah
12/5/2012,Kayla
12/4/2012,Jill
12/3/2012,Elise
12/2/2012,Kayla
12/1/2012,Elise
11/30/2012,Kayla
11/29/2012,Hannah
11/28/2012,Elise
11/27/2012,Jill
11/26/2012,Denise
11/25/2012,Kayla
11/24/2012,Denise
11/23/2012,Elise
11/21/2012,Elise
11/20/2012,Jill
11/18/2012,Kayla
11/17/2012,Jill
11/16/2012,Kayla
11/15/2012,Hannah
11/14/2012,Elise
11/13/2012,Jill
11/12/2012,Elise
11/11/2012,Kayla
11/10/2012,Denise
11/9/2012,Kayla
11/8/2012,Hannah
11/7/2012,Elise
11/6/2012,Jill
11/5/2012,Elise
11/4/2012,Kayla
11/3/2012,Elise
11/2/2012,Kayla
11/1/2012,Hannah
10/31/2012,Elise
10/28/2012,Elise
10/27/2012,Kerry
10/26/2012,Kayla
10/25/2012,Hannah
10/24/2012,Elise
10/23/2012,Jill
10/22/2012,Elise
10/21/2012,Jill
10/20/2012,Denise
10/19/2012,Kayla
10/18/2012,Hannah
10/17/2012,Elise
10/16/2012,Jill
10/15/2012,Elise
10/14/2012,Kayla
10/13/2012,Denise
10/12/2012,Kayla
10/11/2012,Jill
10/10/2012,Elise
10/9/2012,Jill
10/8/2012,Elise
10/7/2012,Kayla
10/6/2012,Denise
10/5/2012,Kayla
10/4/2012,Hannah
10/3/2012,Elise
10/2/2012,Jill
10/1/2012,Elise
9/30/2012,Kayla
9/29/2012,Denise
9/28/2012,Kayla
9/27/2012,Hannah
9/26/2012,Elise
9/25/2012,Jill
9/24/2012,Elise
9/23/2012,Hannah
9/22/2012,Denise
9/21/2012,Hannah
9/20/2012,Hannah
9/18/2012,Jill
9/17/2012,Elise
9/16/2012,Kayla
9/15/2012,Denise
9/14/2012,Kayla
9/13/2012,Hannah
9/12/2012,Elise
9/11/2012,Jill
9/10/2012,Elise
9/9/2012,Kayla
9/8/2012,Denise
9/7/2012,Kayla
9/6/2012,Denise
9/5/2012,Elise
9/4/2012,Elise
9/3/2012,Elise
9/2/2012,Kayla
8/31/2012,Kayla
8/30/2012,Hannah
8/29/2012,Elise
8/28/2012,Jill
8/27/2012,Elise
8/25/2012,Hannah
8/24/2012,Kayla
8/23/2012,Hannah
8/22/2012,Elise
8/21/2012,Jill
8/20/2012,Elise
8/19/2012,Elise
8/18/2012,Jill
8/16/2012,Hannah
8/15/2012,Elise
8/14/2012,Jill
8/13/2012,Elise
8/12/2012,Hannah
8/11/2012,Denise
8/10/2012,Kayla
8/9/2012,Jill
8/8/2012,Kayla
8/7/2012,Jill
8/6/2012,Hannah
8/5/2012,Hannah
8/4/2012,Hannah
8/3/2012,Kayla
8/1/2012,Elise
7/30/2012,Elise
7/29/2012,Hannah
7/28/2012,Hannah
7/27/2012,Kayla
7/26/2012,Hannah
7/25/2012,Elise
7/23/2012,Elise
7/20/2012,Kayla
7/19/2012,Hannah
7/18/2012,Elise
7/17/2012,Hannah
7/16/2012,Elise
7/14/2012,Denise
7/13/2012,Kayla
7/12/2012,Elise
7/11/2012,Elise
7/9/2012,Elise
7/7/2012,Denise
7/6/2012,Kayla
7/5/2012,Elise
7/4/2012,Elise
7/3/2012,Hannah
7/2/2012,Elise
6/29/2012,Denise
6/28/2012,Hannah
6/27/2012,Elise
6/25/2012,Elise
6/24/2012,Kayla
6/23/2012,Hannah
6/22/2012,Kayla
6/21/2012,Hannah
6/20/2012,Elise
6/17/2012,Kayla
6/16/2012,Hannah
6/15/2012,Kayla
6/14/2012,Hannah
6/13/2012,Elise
6/11/2012,Elise
6/9/2012,Hannah
6/8/2012,Kayla
6/7/2012,Hannah
6/6/2012,Elise
6/4/2012,Elise
6/3/2012,Kayla
6/2/2012,Hannah
6/1/2012,Kayla
5/31/2012,Hannah
5/30/2012,Elise
5/28/2012,Elise
5/27/2012,Elise
5/26/2012,Hannah
5/25/2012,Hannah
5/24/2012,Kayla
5/23/2012,Hannah
5/21/2012,Elise
5/19/2012,Hannah
5/18/2012,Kayla
5/17/2012,Hannah
5/16/2012,Elise
5/14/2012,Elise
5/13/2012,Kayla
5/12/2012,Hannah
5/11/2012,Kayla
5/9/2012,Elise
5/8/2012,Elise
5/7/2012,Elise
5/6/2012,Kayla
5/5/2012,Elise
5/4/2012,Kayla
5/3/2012,Jill
5/2/2012,Elise
5/1/2012,Hannah
4/30/2012,Elise
4/29/2012,Denise
4/28/2012,Hannah
4/26/2012,Jill
4/25/2012,Elise
4/24/2012,Hannah
4/23/2012,Elise
4/22/2012,Kayla
4/21/2012,Hannah
4/14/2012,Hannah
4/13/2012,Kayla
4/12/2012,Jill
4/11/2012,Elise
4/10/2012,Hannah
4/9/2012,Elise
4/7/2012,Elise
4/6/2012,Kayla
4/5/2012,Jill
4/4/2012,Elise
4/3/2012,Hannah
4/2/2012,Elise
3/31/2012,Elise
3/28/2012,Elise
3/27/2012,Hannah
3/26/2012,Elise
3/25/2012,Kayla
3/22/2012,Elise
3/21/2012,Elise
3/20/2012,Hannah
3/19/2012,Elise
3/18/2012,Kayla
3/16/2012,Denise
3/14/2012,Elise
3/13/2012,Hannah
3/12/2012,Kayla
3/10/2012,Elise
3/9/2012,Hannah
3/7/2012,Elise
3/6/2012,Hannah
3/5/2012,Kayla
3/3/2012,Jackie
3/1/2012,Jill
2/29/2012,Elise
2/28/2012,Hannah
2/25/2012,Elise
2/24/2012,Kayla
2/20/2012,Jill